OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
140,101799,0.97,0.2,1.77,2.95,6.39,2.03,0.14,2.12,0.65,5.55,2.06,1.48,50143.07793,157144486.1
141,101800,1.05,0.22,1.77,2.87,7.38,1.89,0.12,1.52,0.85,6.07,2.29,1.4,50141.68064,157135727.6
142,101801,1.04,0.21,1.78,2.51,7.85,1.52,0.09,1.19,1.3,5.69,2.13,1.62,50140.27054,157126889.2
143,101802,1.1,0.22,1.9,1.93,8.59,1.33,0.12,1.48,1.21,5.44,2.04,1.71,50138.84794,157117972.7
144,101803,1.22,0.18,1.69,1.64,8.44,2.06,0.12,1.32,0.95,5.82,1.85,1.48,50137.41378,157108983.9
145,101804,1.25,0.21,1.73,1.9,7.95,2.8,0.22,1.25,0.68,7.52,1.72,1.17,50135.96681,157099915.1
146,101805,1.24,0.2,1.76,2.5,9.07,2.61,0.16,1.61,0.59,7.63,2.06,1.28,50134.50923,157090780.1
147,101806,1.34,0.19,1.63,2.34,9.1,2.6,0.08,1.76,0.3,6.36,1.9,1.22,50133.03782,157081558.6
148,101807,1.39,0.24,1.6,3.21,8.86,3.43,0.15,1.62,0.35,6.62,1.81,1.32,50131.55519,157072267.2
149,101808,1.4,0.25,1.6,2.96,8.99,4.13,0.15,2.39,0.88,6.42,1.88,1.39,50130.06034,157062899.4
150,101809,1.41,0.29,1.66,3.11,9.22,4.53,0.2,3.57,0.83,6.87,2.36,1.24,50128.55303,157053453.9
151,101810,1.42,0.31,1.76,3.19,8.91,5.22,0.47,3.3,0.38,7.4,2.39,1.35,50127.03431,157043937.1
152,101811,1.51,0.32,1.79,3.01,9.82,5.06,0.51,3.41,0.42,8.19,2.53,1.5,50125.50217,157034336.5
153,101812,1.7,0.34,1.84,3.31,9.7,5,0.39,3.14,0.47,7.82,2.76,1.49,50123.95874,157024665.5
154,101813,1.61,0.38,1.77,3.52,9.39,4.45,0.54,2.88,0.4,7.56,2.76,1.83,50122.40343,157014920.3
155,101814,1.51,0.35,1.68,3.36,9.15,4.29,0.61,2.9,0.32,6.51,2.42,1.85,50120.83581,157005098.3
156,101815,1.5,0.33,1.67,3.02,9.22,3.76,0.54,3.15,0.21,5.53,2.62,1.95,50119.25565,156995198.1
157,101816,1.55,0.31,1.77,3.23,10.28,3.86,0.76,2.24,0.22,5.55,2.98,2.12,50117.66324,156985221.4
158,102223,0.94,0.21,1.9,3.21,5.07,2.06,0.09,1.61,0.77,5.23,1.86,1.31,50126.6498,157041533.1
159,102224,1.02,0.23,1.85,3.19,5.97,2.56,0.14,1.07,0.77,5.75,2.12,1.27,50125.26714,157032869.3
160,102225,1.05,0.23,1.92,2.53,7.11,2,0.17,1.26,0.88,6.33,2.15,1.25,50123.87131,157024123.1
161,102226,1.06,0.23,2.02,2.36,7.37,1.81,0.21,1.35,0.81,6.01,2.25,1.41,50122.46397,157015305.1
162,102227,1.14,0.21,1.75,1.79,7.71,1.85,0.26,1.53,1.11,5.58,2.13,1.27,50121.04442,157006410.8
163,102228,1.21,0.2,1.71,1.62,7.94,2.31,0.2,1.41,1.1,6,1.96,1.19,50119.61335,156997444.6
164,102229,1.2,0.19,1.71,2.08,7.7,2.34,0.26,1.4,1.12,7.9,2.12,1.19,50118.16905,156988395.8
165,102230,1.31,0.21,1.79,2.52,8.62,2.62,0.36,1.97,0.65,7.72,2.16,1.17,50116.71294,156979273.2
166,102231,1.38,0.21,1.64,2.53,8.79,2.69,0.48,1.83,0.44,6.59,1.84,1.13,50115.24459,156970074.2
167,102232,1.32,0.26,1.66,2.53,8.28,2.96,0.39,1.97,0.28,6.28,1.9,1.36,50113.76466,156960803
168,102233,1.37,0.25,1.65,2.36,8.64,3.13,0.25,2.69,0.4,6.73,2.04,1.3,50112.27184,156951451.3
169,102234,1.39,0.28,1.79,2.63,9.18,3.73,0.22,3.32,0.56,6.7,2.15,1.15,50110.76685,156942023.5
170,102235,1.56,0.27,1.88,2.91,9.75,4.42,0.64,2.6,0.24,7.83,2.56,1.33,50109.25091,156932527.6
171,102236,1.48,0.32,1.74,3,10.32,4.71,0.53,2.86,0.42,7.2,2.48,1.49,50107.72172,156922948.9
172,102237,1.66,0.34,1.79,3.36,9.78,4.89,0.41,2.72,0.49,8.15,3.01,1.76,50106.18129,156913300.1
173,102238,1.51,0.32,1.78,3.72,9.81,4.24,0.6,3.51,0.54,6.89,2.9,1.8,50104.62796,156903570.8
174,102239,1.52,0.3,1.71,3.72,9.74,4.51,0.73,2.53,0.59,6.45,2.97,1.76,50103.06297,156893768.7
175,102240,1.44,0.32,1.71,3.49,10.84,4.55,0.66,2.67,0.22,6,3.48,1.93,50101.48607,156883892.4
176,102241,1.56,0.35,1.75,3.72,11.42,4.06,0.92,2.3,0.17,6.19,3.11,1.97,50099.89662,156873937.8
177,102649,1.04,0.23,1.87,2.26,5.7,3.15,0.11,2.06,1.6,6.3,2.09,1.17,50107.47438,156921405.1
178,102650,1.06,0.22,2.02,2.46,7.04,3.13,0.14,2.22,1.16,6.64,2.42,1.3,50106.08168,156912681.6
179,102651,1.06,0.19,2.02,2.32,7.7,2.02,0.15,1.19,0.57,6.04,2.53,1.49,50104.67681,156903882.2
180,102652,1.2,0.18,1.82,1.84,7.53,2.09,0.3,1.08,0.61,5.48,2.3,1.45,50103.25935,156895004.2
181,102653,1.17,0.22,1.8,1.84,7.32,2.63,0.41,1.65,0.99,6,2.56,1.2,50101.83002,156886052
182,102654,1.24,0.22,1.83,2.61,7.6,2.92,0.43,1.37,1.17,7.52,2.24,1.28,50100.38821,156877022
183,102655,1.27,0.23,1.95,2.3,7.99,3.11,0.6,1.39,0.75,7.47,2.33,1.32,50098.93481,156867919.7
184,102656,1.31,0.24,1.84,2.32,7.71,2.74,0.59,1.94,0.65,6.58,2.19,1.28,50097.46888,156858739.1
185,102657,1.39,0.25,1.77,2.34,7.34,3.1,0.67,1.94,0.37,6.68,2.29,1.19,50095.99135,156849486.2
186,102658,1.4,0.25,1.73,2.22,8.13,3.51,0.48,1.85,0.42,6.78,2.16,1.19,50094.50122,156840154.6
187,102659,1.37,0.23,1.85,2.73,9.04,3.51,0.39,1.68,0.37,7.07,2.36,1.21,50092.99956,156830751.1
188,102660,1.52,0.24,1.88,3.1,10.22,5.27,0.57,2,0.19,8.06,2.69,1.3,50091.48563,156821271.1
189,102661,1.47,0.24,1.82,3.38,10.11,5.79,0.62,2.32,0.39,7.46,2.72,1.43,50089.95916,156811712.8
190,103080,1.19,0.22,2.12,2.23,7.15,4.3,0.43,1.48,0.84,7.04,2.39,1.11,50081.17539,156756722.7
191,103081,1.28,0.23,1.93,2.04,6.9,3.97,0.46,1.75,0.76,7.03,2.3,1.35,50079.71253,156747564.6
